Location	Name	ID	Count	Slots
Charm	Intricate Wooden Figurine (Legendary)	2035004	1	6
Ear	Signet of Might (Legendary)	2016255	1	6
Ear-Slot1	Flawless Egg of Deftness (Legendary)	2024137	1	6
Ear-Slot2	Polished Egg of Rage	24133	1	6
Head	Cap of Flowing Time (Legendary)	2028648	1	6
Head-Slot1	Polished Chunk of Rage (Enchanted)	1069457	1	6
Head-Slot2	Empty	0	0	0
Head-Slot6	Empty	0	0	0
Face	Great Mask of Flame (Legendary)	2012592	1	6
Face-Slot1	Polished Egg of Rage (Legendary)	2024133	1	6
Face-Slot2	Flawless Egg of Deftness (Legendary)	2024137	1	6
Ear	Signet of Might (Legendary)	2016255	1	6
Ear-Slot1	Flawless Egg of Deftness (Legendary)	2024137	1	6
Ear-Slot2	Polished Egg of Rage (Legendary)	2024133	1	6
Neck	Collar of Catastrophe (Legendary)	2008977	1	6
Neck-Slot1	Polished Egg of Rage (Legendary)	2024133	1	6
Neck-Slot2	Flawless Egg of Deftness (Legendary)	2024137	1	6
Shoulders	Mantle of Deadly Precision (Legendary)	2028658	1	6
Shoulders-Slot1	Flawless Egg of Deftness (Legendary)	2024137	1	6
Shoulders-Slot2	Polished Egg of Rage (Legendary)	2024133	1	6
Arms	Temporal Chainmail Sleeves (Legendary)	2068197	1	6
Arms-Slot1	Polished Chunk of Rage	69457	1	6
Arms-Slot2	Prismatic Scale of Sharpshooting (Legendary)	2009600	1	6
Arms-Slot6	Empty	0	0	0
Back	Cape of Endless Torment (Legendary)	2021998	1	6
Back-Slot1	Flawless Egg of Deftness (Legendary)	2024137	1	6
Back-Slot2	Polished Egg of Rage (Legendary)	2024133	1	6
Wrist	Bracer of Timeless Rage (Legendary)	2068198	1	6
Wrist-Slot1	Polished Chunk of Rage (Enchanted)	1069457	1	6
Wrist-Slot2	Empty	0	0	0
Wrist-Slot6	Empty	0	0	0
Wrist	Bracer of Timeless Rage (Legendary)	2068198	1	6
Wrist-Slot1	Polished Chunk of Rage	69457	1	6
Wrist-Slot2	Prismatic Scale of Cleaving (Legendary)	2001801	1	6
Wrist-Slot6	Empty	0	0	0
